"","edu2F","labM","expedu","lifexxp","GNI","matmor","adbi","repparl"
"Norway",97.4,68.7,17.5,81.6,"64,992",4,7.8,39.6
"Australia",94.3,71.8,20.2,82.4,"42,261",6,12.1,30.5
"Switzerland",95,74.9,15.8,83,"56,431",6,1.9,28.5
"Denmark",95.5,66.4,18.7,80.2,"44,025",5,5.1,38
"Netherlands",87.7,70.6,17.9,81.6,"45,435",6,6.2,36.9
"Germany",96.3,66.4,16.5,80.9,"43,919",7,3.8,36.9
"Ireland",80.5,68.1,18.6,80.9,"39,568",9,8.2,19.9
"United States",95.1,68.9,16.5,79.1,"52,947",28,31,19.4
"Canada",100,71,15.9,82,"42,155",11,14.5,28.2
"New Zealand",95,73.8,19.2,81.8,"32,689",8,25.3,31.4
"Singapore",74.1,77.2,15.4,83,"76,628",6,6,25.3
"Sweden",86.5,67.9,15.8,82.2,"45,636",4,6.5,43.6
"United Kingdom",99.8,68.7,16.2,80.7,"39,267",8,25.8,23.5
"Iceland",91,77.4,19,82.6,"35,182",4,11.5,41.3
"Korea (Republic of)",77,72.1,16.9,81.9,"33,890",27,2.2,16.3
"Israel",84.4,69.1,16,82.4,"30,676",2,7.8,22.5
"Luxembourg",100,64.6,13.9,81.7,"58,711",11,8.3,28.3
"Japan",87,70.4,15.3,83.5,"36,927",6,5.4,11.6
"Belgium",77.5,59.3,16.3,80.8,"41,187",6,6.7,42.4
"France",78,61.6,16,82.2,"38,056",12,5.7,25.7
"Austria",100,67.7,15.7,81.4,"43,869",4,4.1,30.3
"Finland",100,64,17.1,80.8,"38,695",4,9.2,42.5
"Slovenia",95.8,63.2,16.8,80.4,"27,852",7,0.6,27.7
"Spain",66.8,65.8,17.3,82.6,"32,045",4,10.6,38
"Italy",71.2,59.5,16,83.1,"33,030",4,4,30.1
"Czech Republic",99.9,68.3,16.4,78.6,"26,660",5,4.9,18.9
"Greece",59.5,62.5,17.6,80.9,"24,524",5,11.9,21
"Estonia",100,68.9,16.5,76.8,"25,214",11,16.8,19.8
"Cyprus",76,71.1,14,80.2,"28,633",10,5.5,12.5
"Qatar",66.7,95.5,13.8,78.2,"123,124",6,9.5,0
"Slovakia",99.1,68.6,15.1,76.3,"25,845",7,15.9,18.7
"Poland",79.4,64.9,15.5,77.4,"23,177",3,12.2,22.1
"Lithuania",89.1,67.3,16.4,73.3,"24,500",11,10.6,23.4
"Malta",68.6,66.3,14.4,80.6,"27,930",9,18.2,13
"Saudi Arabia",60.5,78.3,16.3,74.3,"52,821",16,10.2,19.9
"Argentina",56.3,75,17.9,76.3,"22,050",69,54.4,36.8
"United Arab Emirates",73.1,92,13.3,77,"60,868",8,27.6,17.5
"Chile",73.3,74.8,15.2,81.7,"21,290",22,55.3,15.8
"Portugal",47.7,66.2,16.3,80.9,"25,757",8,12.6,31.3
"Hungary",97.9,60,15.4,75.2,"22,916",14,12.1,10.1
"Bahrain",56.7,86.9,14.4,76.6,"38,599",22,13.8,15
"Latvia",98.9,67.6,15.2,74.2,"22,281",13,13.5,18
"Croatia",85,58.4,14.8,77.3,"19,409",13,12.7,25.8
"Kuwait",55.6,83.1,14.7,74.4,"83,961",14,14.5,1.5
"Montenegro",84.2,57.3,15.2,76.2,"14,558",7,15.2,17.3
"Belarus",87,63.1,15.7,71.3,"16,676",1,20.6,30.1
"Russian Federation",89.6,71.7,14.7,70.1,"22,352",24,25.7,14.5
"Oman",47.2,82.6,13.6,76.8,"34,858",11,10.6,9.6
"Romania",86.1,64.9,14.2,74.7,"18,108",33,31,12
"Uruguay",54.4,76.8,15.5,77.2,"19,283",14,58.3,11.5
"Bahamas",91.2,79.3,12.6,75.4,"21,336",37,28.5,16.7
"Kazakhstan",95.3,77.9,15,69.4,"20,867",26,29.9,20.1
"Barbados",89.5,76.6,15.4,75.6,"12,488",52,48.4,19.6
"Bulgaria",93,59,14.4,74.2,"15,596",5,35.9,20.4
"Panama",54,81.8,13.3,77.6,"18,192",85,78.5,19.3
"Malaysia",65.1,75.5,12.7,74.7,"22,762",29,5.7,14.2
"Mauritius",49.4,74.2,15.6,74.4,"17,470",73,30.9,11.6
"Trinidad and Tobago",59.7,75.5,12.3,70.4,"26,090",84,34.8,24.7
"Serbia",58.4,60.9,14.4,74.9,"12,190",16,16.9,34
"Cuba",74.3,70,13.8,79.4,"7,301",80,43.1,48.9
"Lebanon",53,70.9,13.8,79.3,"16,509",16,12,3.1
"Costa Rica",50.7,79,13.9,79.4,"13,413",38,60.8,33.3
"Iran (Islamic Republic of)",62.2,73.6,15.1,75.4,"15,440",23,31.6,3.1
"Venezuela (Bolivarian Republic of)",56.6,79.2,14.2,74.2,"16,159",110,83.2,17
"Turkey",39,70.8,14.5,75.3,"18,677",20,30.9,14.4
